"time_series","sub_time_series","index","mean_value","theil_index","norm_sum_theil_index","norm_prod_theil_index"
"^GSPC","absolute log-return",23881,183.015335162977,2.92304700241831e-08,3.91202297619768,7.47195759933524e-09
"^GSPC","original",23881,13758386.0573166,8.75418958131128e-06,3.91201425123856,2.23776536312909e-06
"^GSPC","volatility log-return",23881,72476.6953717303,9.348566780925e-09,3.91202299607958,2.38970138160061e-09
"^GSPC","absolute log-return",23880,183.008167074108,3.05428671126849e-08,3.93182560218146,7.76811333098768e-09
"^GSPC","original",23880,13756354.6414778,9.12121208598251e-06,3.93181651151224,2.31984145229312e-06
"^GSPC","volatility log-return",23880,72473.6227554116,9.89278008561911e-09,3.93182562283155,2.51607802830374e-09
"^GSPC","absolute log-return",23879,183.000862998112,3.18534879578243e-08,3.95124368672794,8.06163583583255e-09
"^GSPC","original",23879,13754322.9206726,9.49560799918664e-06,3.95123422297343,2.4031947091828e-06
"^GSPC","volatility log-return",23879,72470.5120398314,1.04473183166431e-08,3.95124370813411,2.64405819046613e-09
"^GSPC","absolute log-return",23878,182.993728070793,3.26669563088859e-08,3.97029188088517,8.22784747826252e-09
"^GSPC","original",23878,13752291.7444265,9.87692079819289e-06,3.97028203663132,2.48770644911e-06
"^GSPC","volatility log-return",23878,72467.4493141796,1.07770282921687e-08,3.97029190277509,2.71441710756395e-09
"^GSPC","absolute log-return",23877,182.986743631201,3.32986462610535e-08,3.98898401326563,8.34765089866272e-09
"^GSPC","original",23877,13750261.0671165,1.02651824943768e-05,3.98897378138178,2.57338268956432e-06
"^GSPC","volatility log-return",23877,72464.4244224145,1.1041567848681e-08,3.98898403552271,2.76801504337706e-09
"^GSPC","absolute log-return",23876,182.979612239184,3.38922573905118e-08,4.00733315134021,8.45755913568881e-09
"^GSPC","original",23876,13748230.8060712,1.06604449230917e-05,4.00732252478755,2.66023423317451e-06
"^GSPC","volatility log-return",23876,72461.3596101321,1.1259834451672e-08,4.00733317397264,2.80980740337885e-09
"^GSPC","absolute log-return",23875,182.972352929061,3.49556382906986e-08,4.02535165577951,8.68387186420341e-09
"^GSPC","original",23875,13746201.7827399,1.10622336605808e-05,4.02534062850149,2.74814091053011e-06
"^GSPC","volatility log-return",23875,72458.2695052536,1.15829955340178e-08,4.02535167915215,2.87751143848561e-09
"^GSPC","absolute log-return",23874,182.965044847696,3.58990645964977e-08,4.04305123193549,8.87920093472501e-09
"^GSPC","original",23874,13744175.222857,1.14698091728503e-05,4.04303979802538,2.83691905272165e-06
"^GSPC","volatility log-return",23874,72455.1583782181,1.18685642185141e-08,4.04305125596599,2.93554630705213e-09
"^GSPC","absolute log-return",23873,182.957472225717,3.68443292334287e-08,4.06044297370209,9.07396782511928e-09
"^GSPC","original",23873,13742150.4769338,1.18835463660492e-05,4.06043112700005,2.92666251814972e-06
"^GSPC","volatility log-return",23873,72451.9870374959,1.21158488493273e-08,4.06044299843057,2.98387363592053e-09
"^GSPC","absolute log-return",23872,182.95002370107,3.75848143776082e-08,4.07753740632091,9.2175277099619e-09
"^GSPC","original",23872,13740126.4018899,1.23041465658695e-05,4.07752513975915,3.01754348921044e-06
"^GSPC","volatility log-return",23872,72448.8389625896,1.23026115602625e-08,4.07753743160311,3.01716703513047e-09
"^GSPC","absolute log-return",23871,182.942712921268,3.83132170431404e-08,4.09434452390888,9.35759471653916e-09
"^GSPC","original",23871,13738102.8296793,1.2731719009972e-05,4.09433183050309,3.10958660574044e-06
"^GSPC","volatility log-return",23871,72445.7197763972,1.24852470038809e-08,4.09434454973685,3.04938844646353e-09
"^GSPC","absolute log-return",23870,182.935533947238,3.89502316830464e-08,4.11087382522308,9.47492746554491e-09
"^GSPC","original",23870,13736079.9955752,1.31661149852095e-05,4.11086069805833,3.20275333669407e-06
"^GSPC","volatility log-return",23870,72442.6308559397,1.26559716854458e-08,4.11087385151734,3.07865726451592e-09
"^GSPC","absolute log-return",23869,182.928102167139,3.93956292528813e-08,4.12713434564946,9.54551647158222e-09
"^GSPC","original",23869,13734058.0772469,1.36072123658075e-05,4.12712077783273,3.29701218722464e-06
"^GSPC","volatility log-return",23869,72439.4862871892,1.27914962283819e-08,4.1271343722536,3.09936508845766e-09
"^GSPC","absolute log-return",23868,182.920488357071,3.93746398411479e-08,4.14313468701689,9.50358664185688e-09
"^GSPC","original",23868,13732037.8363259,1.40545125441226e-05,4.14312067187899,3.39224125505651e-06
"^GSPC","volatility log-return",23868,72436.3016134835,1.27887702053184e-08,4.14313471360276,3.08673771187179e-09
"^GSPC","absolute log-return",23867,182.913009851477,3.9172296193038e-08,4.15888304418737,9.41894624298826e-09
"^GSPC","original",23867,13730019.6168386,1.4507771081826e-05,4.15886857558859,3.48838156568378e-06
"^GSPC","volatility log-return",23867,72433.1505559193,1.27147902507092e-08,4.15888307064488,3.05726080677358e-09
"^GSPC","absolute log-return",23866,182.905389724454,3.96585507991322e-08,4.17438723023709,9.50044838559594e-09
"^GSPC","original",23866,13728003.2799496,1.49670686068697e-05,4.17437230282703,3.58545281958085e-06
"^GSPC","volatility log-return",23866,72429.9791417658,1.28312112260194e-08,4.17438725706443,3.07379512163474e-09
"^GSPC","absolute log-return",23865,182.897632739278,4.01473915340207e-08,4.18965470187903,9.58250595957282e-09
"^GSPC","original",23865,13725990.0543285,1.54315345033255e-05,4.18963931049192,3.68324729685523e-06
"^GSPC","volatility log-return",23865,72426.7712825107,1.29659384890964e-08,4.18965472906049,3.09475106839594e-09
"^GSPC","absolute log-return",23864,182.889964191494,4.0686693903873e-08,4.20469257870427,9.67649661624167e-09
"^GSPC","original",23864,13723979.1303682,1.59017102848899e-05,4.20467671768068,3.78189602054507e-06
"^GSPC","volatility log-return",23864,72423.5831425217,1.31351762022095e-08,4.20469260625579,3.12393256563712e-09
"^GSPC","absolute log-return",23863,182.88233192859,4.08975802412376e-08,4.21950766427853,9.6925004286799e-09
"^GSPC","original",23863,13721970.8329966,1.63773482429754e-05,4.21949132782786,3.88134099693316e-06
"^GSPC","volatility log-return",23863,72420.3950776264,1.31868053344883e-08,4.2195076919893,3.12519996546326e-09
"^GSPC","absolute log-return",23862,182.874628304511,4.09084028207955e-08,4.23410646368886,9.66163765044135e-09
"^GSPC","original",23862,13719964.8204762,1.685866496443e-05,4.2340896459323,3.98163460133215e-06
"^GSPC","volatility log-return",23862,72417.1931719607,1.31884598667259e-08,4.2341064914088,3.11481533409853e-09
"^GSPC","absolute log-return",23861,182.86687542582,4.12866037867556e-08,4.24849520076276,9.71793574772606e-09
"^GSPC","original",23861,13717960.8555989,1.73458144984629e-05,4.24847789623486,4.08281368113191e-06
"^GSPC","volatility log-return",23861,72413.984720109,1.33041535217156e-08,4.24849522874521,3.13149780421975e-09
"^GSPC","absolute log-return",23860,182.858940298956,4.16708843847512e-08,4.26267983537043,9.77574802395777e-09
"^GSPC","original",23860,13715959.7777608,1.78381476026684e-05,4.26266203889371,4.18472606839285e-06
"^GSPC","volatility log-return",23860,72410.7335572304,1.34414735936895e-08,4.26267986359984,3.1532918214396e-09
"^GSPC","absolute log-return",23859,182.85113399182,4.1832801927211e-08,4.27666607718325,9.78163849200263e-09
"^GSPC","original",23859,13713960.8280571,1.83362096366189e-05,4.27664778280642,4.28750085378129e-06
"^GSPC","volatility log-return",23859,72407.5075774523,1.35055112460153e-08,4.27666610551054,3.15795315092836e-09
"^GSPC","absolute log-return",23858,182.843349580018,4.17136255767748e-08,4.29045939943477,9.72241461525381e-09
"^GSPC","original",23858,13711963.7079334,1.88402114806078e-05,4.29044060093691,4.39118740988844e-06
"^GSPC","volatility log-return",23858,72404.2793707152,1.34825921315748e-08,4.2904594276658,3.14245882440181e-09
"^GSPC","absolute log-return",23857,182.835578839586,4.20668923830297e-08,4.30406505113728,9.77375840561764e-09
"^GSPC","original",23857,13709968.9101118,1.93501614705863e-05,4.3040457430427,4.49578736649195e-06
"^GSPC","volatility log-return",23857,72401.0731636796,1.36612747676768e-08,4.3040650795429,3.17403999982412e-09
"^GSPC","absolute log-return",23856,182.827743613437,4.27275735020642e-08,4.31748807080874,9.89639632547071e-09
"^GSPC","original",23856,13707975.3326329,1.98664795064579e-05,4.3174682470568,4.60139761454629e-06
"^GSPC","volatility log-return",23856,72397.8497803509,1.39532441806759e-08,4.31748809958307,3.23179677945823e-09
"^GSPC","absolute log-return",23855,182.819905100235,4.2878477061035e-08,4.33073329740785,9.90097373628645e-09
"^GSPC","original",23855,13705983.6787703,2.03886016015615e-05,4.33071295168473,4.70788663247815e-06
"^GSPC","volatility log-return",23855,72394.632158656,1.40381860997686e-08,4.33073332624815,3.24152631822869e-09
"^GSPC","absolute log-return",23854,182.812024455806,4.30894807268824e-08,4.3438053787642,9.91975388908978e-09
"^GSPC","original",23854,13703993.9274767,2.09165293999623e-05,4.34378450532428,4.81525468307839e-06
"^GSPC","volatility log-return",23854,72391.3966073992,1.41521095187999e-08,4.34380540770157,3.25799803269285e-09
"^GSPC","absolute log-return",23853,182.804135512452,4.33198712564912e-08,4.35670878336972,9.94325601727381e-09
"^GSPC","original",23853,13702005.55942,2.14506643436278e-05,4.35668737602525,4.92359374861573e-06
"^GSPC","volatility log-return",23853,72388.1536782439,1.4278012489032e-08,4.35670881241158,3.27724735735462e-09
"^GSPC","absolute log-return",23852,182.796074330877,4.46038043992702e-08,4.36944780786322,1.02081100187719e-08
"^GSPC","original",23852,13700017.9718205,2.19914877027066e-05,4.36942586097932,5.03301296759728e-06
"^GSPC","volatility log-return",23852,72384.881183759,1.47107478494784e-08,4.36944783775627,3.36672924043997e-09
"^GSPC","absolute log-return",23851,182.788048583698,4.56103730670898e-08,4.38202658906351,1.04085111455477e-08
"^GSPC","original",23851,13698029.8890351,2.25400550214352e-05,4.38200409461886,5.14375125953854e-06
"^GSPC","volatility log-return",23851,72381.6096179163,1.50701566173283e-08,4.38202661960372,3.43908375592287e-09
"^GSPC","absolute log-return",23850,182.779998887727,4.65539430933492e-08,4.3944491081185,1.059380628943e-08
"^GSPC","original",23850,13696041.0264431,2.30966103488201e-05,4.39442605806209,5.25586018540284e-06
"^GSPC","volatility log-return",23850,72378.3274981736,1.54096089972143e-08,4.39444913926283,3.50660764406158e-09
"^GSPC","absolute log-return",23849,182.771929319812,4.78127203487807e-08,4.40671919945153,1.08499583626671e-08
"^GSPC","original",23849,13694051.7664747,2.3660835228313e-05,4.40669558642903,5.3692631412818e-06
"^GSPC","volatility log-return",23849,72375.0403425431,1.58511760161158e-08,4.40671923141308,3.5970469473308e-09
"^GSPC","absolute log-return",23848,182.763947035592,4.90577889231771e-08,4.41884055873881,1.11019593774484e-08
"^GSPC","original",23848,13692062.8000008,2.42321355343001e-05,4.41881637566106,5.48382204407757e-06
"^GSPC","volatility log-return",23848,72371.7735065123,1.63173343485272e-08,4.41884059147926,3.69267321381471e-09
"^GSPC","absolute log-return",23847,182.756035541331,5.04577721692932e-08,4.43081674838554,1.13879165986879e-08
"^GSPC","original",23847,13690073.7691572,2.48108242281955e-05,4.43079198801909,5.59960507387091e-06
"^GSPC","volatility log-return",23847,72368.5215274759,1.68457770536053e-08,4.43081678199754,3.80195747610304e-09
"^GSPC","absolute log-return",23846,182.748229090246,5.15395656457387e-08,4.44265120495075,1.16010829277774e-08
"^GSPC","original",23846,13688085.0231578,2.53965914799952e-05,4.44262585989884,5.71653951970528e-06
"^GSPC","volatility log-return",23846,72365.2923237339,1.72556778280876e-08,4.44265123923464,3.88409461644746e-09
"^GSPC","absolute log-return",23845,182.740256061829,5.2684383231665e-08,4.45434724356912,1.1827632586255e-08
"^GSPC","original",23845,13686096.4631118,2.59895196608498e-05,4.45432130673385,5.83464151587579e-06
"^GSPC","volatility log-return",23845,72362.0252445698,1.76994630918483e-08,4.45434727855404,3.97352561771172e-09
"^GSPC","absolute log-return",23844,182.732162638825,5.40986397777811e-08,4.46590806455594,1.21136929691422e-08
"^GSPC","original",23844,13684107.418813,2.65902179218126e-05,4.46588152843666,5.95404500391361e-06
"^GSPC","volatility log-return",23844,72358.730393113,1.82013270850431e-08,4.46590810045326,4.07561611243505e-09
"^GSPC","absolute log-return",23843,182.724161357696,5.53110157344439e-08,4.47733675916719,1.23535525751796e-08
"^GSPC","original",23843,13682117.0804079,2.71994467870538e-05,4.47730961503142,6.07491638759449e-06
"^GSPC","volatility log-return",23843,72355.4553313672,1.85959511187499e-08,4.47733679588226,4.15335095153369e-09
"^GSPC","absolute log-return",23842,182.716313485583,5.63221077982754e-08,4.48863631341003,1.25477100747273e-08
"^GSPC","original",23842,13680125.4371347,2.78172367160266e-05,4.48860855249542,6.19725779161002e-06
"^GSPC","volatility log-return",23842,72352.2206221894,1.89113650618545e-08,4.48863635082077,4.21316486881807e-09
"^GSPC","absolute log-return",23841,182.708284877399,5.84860583179223e-08,4.49980961184421,1.29974515819087e-08
"^GSPC","original",23841,13678132.4934887,2.84436043850668e-05,4.49978122672588,6.32106832709197e-06
"^GSPC","volatility log-return",23841,72348.9628014762,1.95075125183335e-08,4.49980965082275,4.33518614063998e-09
"^GSPC","absolute log-return",23840,182.700333954348,6.01664604793288e-08,4.51085944635039,1.33381366438937e-08
"^GSPC","original",23840,13676139.6366273,2.90772369446401e-05,4.51083042927991,6.44605244358245e-06
"^GSPC","volatility log-return",23840,72345.721016339,1.99371604656596e-08,4.51085948657969,4.41981410346662e-09
"^GSPC","absolute log-return",23839,182.692344070206,6.22101703285154e-08,4.52178851483887,1.37578679915005e-08
"^GSPC","original",23839,13674146.7942636,2.97182065919618e-05,4.52175885884245,6.57222381930916e-06
"^GSPC","volatility log-return",23839,72342.4692425924,2.04814737150046e-08,4.52178855656757,4.52950715541215e-09
"^GSPC","absolute log-return",23838,182.684496631735,6.39622347381855e-08,4.53259942919102,1.41116008230606e-08
"^GSPC","original",23838,13672153.2978634,3.03671748014672e-05,4.53256912597845,6.69972602859321e-06
"^GSPC","volatility log-return",23838,72339.2556222487,2.0891904690483e-08,4.53259947226135,4.609254517643e-09
"^GSPC","absolute log-return",23837,182.676574535518,6.54860115257852e-08,4.54329471678399,1.44137712088023e-08
"^GSPC","original",23837,13670159.1597908,3.10241494925939e-05,4.54326375812051,6.82855746311338e-06
"^GSPC","volatility log-return",23837,72336.023429834,2.12858703153395e-08,4.54329476098413,4.68511759316315e-09
"^GSPC","absolute log-return",23836,182.66864054788,6.7274373649138e-08,4.55387682432617,1.47729890927054e-08
"^GSPC","original",23836,13668164.6488347,3.16888722538825e-05,4.55384520272829,6.95865808588973e-06
"^GSPC","volatility log-return",23836,72332.7873135052,2.17674199014264e-08,4.55387686983312,4.77997548453178e-09
"^GSPC","absolute log-return",23835,182.660727253935,6.85469774147956e-08,4.56434812292086,1.50179115482318e-08
"^GSPC","original",23835,13666170.3374825,3.23607760424518e-05,4.56431583069179,7.08990083248775e-06
"^GSPC","volatility log-return",23835,72329.5502481604,2.20700224814457e-08,4.56434816939781,4.83530650065245e-09
"^GSPC","absolute log-return",23834,182.652776990935,6.95495606899316e-08,4.57471090895382,1.5203050207269e-08
"^GSPC","original",23834,13664176.0637861,3.30400359152708e-05,4.57467793846747,7.22232203750712e-06
"^GSPC","volatility log-return",23834,72326.3024564784,2.22892543353712e-08,4.57471095621413,4.87227596237416e-09
"^GSPC","absolute log-return",23833,182.644816080683,7.0186219435738e-08,4.58496740848435,1.5307899077201e-08
"^GSPC","original",23833,13662182.0209808,3.37264620079639e-05,4.58493375220856,7.35587813105777e-06
"^GSPC","volatility log-return",23833,72323.0495076828,2.23913961755671e-08,4.58496745627918,4.88365430719686e-09
"^GSPC","absolute log-return",23832,182.636730838709,7.06095746298796e-08,4.59511977952502,1.53662095729258e-08
"^GSPC","original",23832,13660188.0745955,3.44201892238355e-05,4.59508542994537,7.49059662128885e-06
"^GSPC","volatility log-return",23832,72319.7689487152,2.24659367793696e-08,4.59511982766865,4.88908614183623e-09
"^GSPC","absolute log-return",23831,182.628659971736,7.09611945021853e-08,4.6051701150269,1.54090276007812e-08
"^GSPC","original",23831,13658193.891138,3.51215721702049e-05,4.60513506441592,7.6265524946434e-06
"^GSPC","volatility log-return",23831,72316.4872028866,2.25294895873945e-08,4.6051701634586,4.89221650395111e-09
"^GSPC","absolute log-return",23830,182.620645116442,7.12392028323538e-08,4.61512044560206,1.54360438849628e-08
"^GSPC","original",23830,13656199.8187392,3.58302459924118e-05,4.61508468659527,7.76366421237798e-06
"^GSPC","volatility log-return",23830,72313.2186666776,2.25971510768084e-08,4.61512049424411,4.89632957456864e-09
"^GSPC","absolute log-return",23829,182.612533294982,7.14898486173434e-08,4.62497274179442,1.54573554274749e-08
"^GSPC","original",23829,13654205.5075645,3.6546599982339e-05,4.62493626668429,7.90201401343733e-06
"^GSPC","volatility log-return",23829,72309.9266714145,2.26784277135371e-08,4.62497279060584,4.9034726535901e-09
